linkStart,linkEnd,capacity
R4026,R1321,60606
R4052,R1744,60606
R4052,R3144,60606
R2752,R2412,60606
R3697,R3195,60606
R4026,R2153,60606
R3092,R3945,60606
R3092,R1334,60606
R1830,R3457,60606
R1992,R4215,60606
R1992,R1059,60606
R1992,R3697,60606
R1992,R1532,60606
R2752,R1472,60606
R4132,R3144,60606
R2130,R3403,60606
R1278,R3392,60606
R3715,R3425,60606
R2790,R2428,60606
R1743,R1176,60606
R2673,R3121,60606
R4080,R2401,60606
R1336,R1532,60606
R2673,R1321,60606
R1336,R3392,60606
R1278,R1532,60606
R2673,R2153,60606
R2021,R1532,60606
R3490,R3935,60606
R2264,R1830,60606
R2264,R3891,60606
R1716,R1532,60606
R3490,R1992,60606
R1716,R3392,60606
R2752,R4285,60606
R2752,R4117,60606
R2153,R2673,60606
R3715,R3898,60606
R2309,R2153,60606
R2790,R3457,60606
R1993,R3891,60606
R3077,R1321,60606
R2238,R4030,60606
R4285,R2752,60606
R3077,R2153,60606
R3457,R1465,60606
R2153,R2309,60606
R2428,R3891,60606
R2555,R3457,60606
R4063,R3608,60606
R2547,R3372,60606
R1993,R1830,60606
R4063,R1076,60606
R3715,R3608,60606
R1744,R4165,60606
R3715,R2159,60606
R1744,R1993,60606
R2428,R1830,60606
R1992,R3195,60606
R3715,R1076,60606
R4063,R2159,60606
R3715,R1773,60606
R1744,R4052,60606
R4285,R3935,60606
R2547,R2543,60606
R2428,R2555,60606
R2513,R1993,60606
R2309,R1321,60606
R1993,R2555,60606
R4300,R2264,60606
R2547,R1334,60606
R3457,R2408,60606
R2555,R2428,60606
R2153,R4026,60606
R3457,R2555,60606
R2555,R2264,60606
R2555,R1993,60606
R2106,R1404,60606
R2513,R2264,60606
R3429,R3945,60606
R3429,R1334,60606
R2428,R2408,60606
R2547,R3161,60606
R1404,R2106,60606
R2547,R3955,60606
R1078,R3945,60606
R1078,R1334,60606
R2547,R2950,60606
R2153,R3077,60606
R4165,R1744,60606
R3891,R2264,60606
R1334,R1124,60606
R4114,R4282,60606
R4114,R4115,60606
R4114,R1629,60606
R4114,R3702,60606
R1993,R1307,60606
R4114,R2118,60606
R4114,R1726,60606
R4114,R4302,60606
R2295,R1419,60606
R2752,R4263,60606
R1334,R3092,60606
R4063,R1773,60606
R3891,R3457,60606
R3891,R1993,60606
R4063,R3898,60606
R2547,R2752,60606
R1993,R2088,60606
R4117,R3935,60606
R2547,R3195,60606
R4300,R1993,60606
R3158,R2264,60606
R4117,R2752,60606
R1334,R3429,60606
R1334,R1078,60606
R3201,R1993,60606
R1539,R2264,60606
R3457,R3973,60606
R3201,R2264,60606
R4063,R3425,60606
R1992,R1557,60606
R3457,R3891,60606
R4114,R2035,60606
R1998,R2628,60606
R4114,R3216,60606
R4263,R3935,60606
